batch_idx,correct,p_adv,time
148,12,0.01915324,0.02849888801574707
149,0,0.019375907,0.030594348907470703
150,1,0.021616107,0.027982711791992188
151,1,0.019728832,0.03084087371826172
152,3,0.017448548,0.03062152862548828
153,3,0.017783334,0.031220674514770508
154,2,0.017780576,0.030594348907470703
155,2,0.017949592,0.030529260635375977
156,4,0.018707141,0.028744935989379883
157,0,0.017947854,0.027535676956176758
158,0,0.018795988,0.028516292572021484
159,0,0.018896898,0.028384685516357422
160,3,0.017856427,0.0292205810546875
161,2,0.017939556,0.02770400047302246
162,2,0.01963993,0.03038191795349121
163,0,0.018286053,0.02745652198791504
164,3,0.019460905,0.029070138931274414
165,2,0.02036301,0.029699087142944336
166,1,0.018418552,0.028691530227661133
167,5,0.018087337,0.030181407928466797
168,4,0.018296048,0.028838634490966797
169,13,0.01840787,0.030140161514282227
170,6,0.018947119,0.029303550720214844
171,3,0.01906448,0.02946019172668457
172,3,0.01844816,0.029029369354248047
173,1,0.018881714,0.029269695281982422
174,0,0.016911205,0.027398347854614258
175,5,0.017130489,0.03021717071533203
176,1,0.02029308,0.02917647361755371
177,1,0.019084288,0.028590679168701172
178,11,0.018227212,0.029157161712646484
179,1,0.018237006,0.02865457534790039
180,1,0.018989895,0.029044389724731445
181,3,0.017474897,0.029765844345092773
182,0,0.017593522,0.03072357177734375
183,4,0.01828814,0.028192758560180664
184,1,0.018303562,0.03013467788696289
185,2,0.01831154,0.02833104133605957
186,2,0.017828345,0.028665542602539062
187,5,0.017313978,0.03235292434692383
188,0,0.01757811,0.029578447341918945
189,3,0.018849185,0.029379844665527344
190,4,0.018019378,0.027346372604370117
191,9,0.017113961,0.030462026596069336
192,2,0.018909745,0.029644489288330078
193,12,0.017848946,0.02794194221496582
194,0,0.019659825,0.029714107513427734
195,0,0.018247204,0.02860116958618164
196,24,0.016653016,0.02960991859436035
197,4,0.016863689,0.03005385398864746
198,11,0.018132295,0.02855396270751953
199,17,0.019682903,0.029952049255371094
200,1,0.017290693,0.026439189910888672
201,6,0.019038629,0.03600192070007324
202,12,0.019516982,0.030348777770996094
203,9,0.02060397,0.027873516082763672
204,13,0.018968463,0.03178668022155762
205,2,0.017685061,0.029176950454711914
206,1,0.018973745,0.02847123146057129
207,0,0.018661357,0.03298234939575195
208,0,0.018025516,0.029276132583618164
209,2,0.01852375,0.02966141700744629
210,1,0.01887772,0.029908180236816406
211,6,0.02088033,0.03201580047607422
212,2,0.021600226,0.028864622116088867
213,0,0.02186415,0.028700828552246094
214,8,0.021582946,0.027775049209594727
215,14,0.021296576,0.03062748908996582
216,2,0.022585068,0.030521869659423828
217,1,0.02201997,0.0302121639251709
218,4,0.019709898,0.028683900833129883
219,3,0.020035902,0.029165983200073242
220,0,0.019907285,0.03117537498474121
221,17,0.019194156,0.02912306785583496
222,8,0.017911056,0.02870917320251465
223,3,0.020595118,0.03026866912841797
224,6,0.021120971,0.031146764755249023
225,4,0.019792814,0.029143571853637695
226,7,0.019550417,0.027610301971435547
227,14,0.0194243,0.032103538513183594
228,18,0.018948494,0.031029939651489258
229,16,0.02154127,0.03013157844543457
230,7,0.019064996,0.029433012008666992
231,2,0.018933885,0.030013084411621094
232,3,0.018377857,0.029157161712646484
233,7,0.022408083,0.027970314025878906
234,14,0.019997409,0.028488874435424805
235,13,0.018515415,0.030904531478881836
236,4,0.018049126,0.02872157096862793
237,1,0.019549148,0.026697158813476562
238,6,0.020788966,0.030294179916381836
239,5,0.017008934,0.026482820510864258
240,3,0.018001925,0.02992868423461914
241,8,0.018023957,0.02971959114074707
242,4,0.01853466,0.032291412353515625
243,1,0.019318437,0.02756190299987793
244,1,0.02012029,0.028304576873779297
245,0,0.019077556,0.030352354049682617
246,2,0.019792292,0.028029203414916992
247,11,0.019105362,0.030564069747924805
248,12,0.020066038,0.028409481048583984
249,5,0.020408776,0.029217958450317383
250,18,0.01995671,0.029808759689331055
251,31,0.018065665,0.03140974044799805
252,37,0.018998176,0.030538082122802734
253,25,0.01759728,0.029513835906982422
254,24,0.018695872,0.03006911277770996
255,22,0.02028375,0.028222084045410156
256,12,0.0185819,0.03017902374267578
257,1,0.019930393,0.02918863296508789
258,4,0.024877742,0.028920650482177734
259,5,0.020639015,0.02860856056213379
260,21,0.017432638,0.02930617332458496
261,7,0.019797409,0.030025959014892578
262,10,0.020824146,0.028865337371826172
263,5,0.020335445,0.027779340744018555
264,5,0.017233819,0.028445720672607422
265,24,0.018620107,0.028085947036743164
266,23,0.01975557,0.029214859008789062
267,5,0.01989309,0.028902769088745117
268,1,0.022954732,0.0286252498626709
269,3,0.019951072,0.02644968032836914
270,4,0.020572528,0.02771449089050293
271,1,0.018989239,0.028249263763427734
272,2,0.020527508,0.027375459671020508
273,3,0.021471689,0.03133416175842285
274,8,0.024012566,0.031178712844848633
275,1,0.02286018,0.02789020538330078
276,4,0.022082733,0.03046727180480957
277,2,0.018942382,0.029685258865356445
278,8,0.020476203,0.028178930282592773
279,0,0.018583346,0.029653549194335938
280,1,0.018344197,0.029372215270996094
281,1,0.02023842,0.029947996139526367
282,10,0.018291436,0.029494524002075195
283,20,0.02113283,0.029239892959594727
284,12,0.019471887,0.028633594512939453
285,2,0.019254103,0.030672311782836914
286,4,0.018023826,0.027991294860839844
287,6,0.01844961,0.029183387756347656
288,3,0.017800048,0.0307004451751709
289,3,0.019383706,0.03397560119628906
290,4,0.021052944,0.02919745445251465
291,1,0.021668306,0.029767751693725586
292,1,0.019868007,0.027637004852294922
293,15,0.018294316,0.030655860900878906
294,8,0.019275391,0.03331470489501953
295,3,0.01780139,0.027534008026123047
296,4,0.017261254,0.032221078872680664
297,1,0.017650321,0.031668901443481445
298,2,0.019175123,0.028586626052856445
299,1,0.019719865,0.028630733489990234
300,2,0.017664745,0.029369115829467773
301,0,0.020658351,0.029019832611083984
302,19,0.018671703,0.028290987014770508
303,26,0.016440384,0.028522253036499023
304,7,0.018647442,0.02752089500427246
305,0,0.018981306,0.028031110763549805
306,11,0.016689546,0.029531240463256836
307,5,0.018179243,0.029169797897338867
308,8,0.019201845,0.0310671329498291
309,13,0.018346064,0.029306888580322266
310,9,0.019289386,0.0279083251953125
311,15,0.015840044,0.027710676193237305
312,0,0.01552786,0.029897689819335938
313,10,0.0152274305,0.030462026596069336
314,3,0.0160353,0.02740478515625
315,9,0.01793262,0.028873682022094727
316,18,0.018732753,0.02767634391784668
317,3,0.01870576,0.02991461753845215
318,8,0.016077641,0.02801823616027832
319,2,0.015556451,0.029854774475097656
320,0,0.017630868,0.029799938201904297
321,3,0.018324398,0.0286862850189209
322,1,0.017407263,0.030567407608032227
323,0,0.016827133,0.028903961181640625
324,0,0.017029509,0.03184366226196289
325,7,0.016936181,0.02734541893005371
326,16,0.017295633,0.02798914909362793
327,1,0.017842557,0.030117273330688477
328,8,0.016352143,0.029478073120117188
329,0,0.01804602,0.030396699905395508
330,7,0.01743761,0.029356956481933594
331,2,0.01667549,0.029688358306884766
332,18,0.01661846,0.02785968780517578
333,6,0.018537082,0.02897477149963379
334,2,0.018116511,0.029297590255737305
335,20,0.017613076,0.030093908309936523
336,4,0.018849783,0.029842138290405273
337,2,0.018996742,0.027003049850463867
338,1,0.017109782,0.028887510299682617
339,1,0.018921044,0.029235124588012695
340,1,0.017452035,0.027873992919921875
341,8,0.017310012,0.028127431869506836
342,4,0.0189025,0.02902054786682129
343,10,0.016089361,0.02897334098815918
344,4,0.016348027,0.029221534729003906
345,1,0.016230207,0.030834436416625977
346,3,0.017379772,0.02935004234313965
347,6,0.018588167,0.031035184860229492
348,1,0.015879959,0.028980731964111328
349,2,0.01547675,0.031235933303833008
350,7,0.017706744,0.031297922134399414
